,end_date,Name,Market value,Share,symbol,revenues_x,op_income_x,net_income_x,eps_basic_x,eps_diluted_x,dividend_x,assets_x,cur_assets_x,cur_liab_x,cash_x,equity_x,cash_flow_op_x,cash_flow_inv_x,cash_flow_fin_x
524,201612,ELECTRONIC ARTS INC,742091,9422175,EA,1149000000.0,-4000000.0,-1000000.0,0.0,0.0,0.0,7719000000.0,5101000000.0,2937000000.0,2483000000.0,3549000000.0,976000000.0,-498000000.0,-460000000.0
530,201703,ELECTRONIC ARTS INC,696463,7779975,EA,4845000000.0,1224000000.0,967000000.0,3.19,3.08,0.0,7718000000.0,5199000000.0,2415000000.0,2565000000.0,4060000000.0,1383000000.0,-759000000.0,-534000000.0
529,201709,ELECTRONIC ARTS INC,499878,4234102,EA,959000000.0,-41000000.0,-22000000.0,-0.07,-0.07,0.0,7922000000.0,5415000000.0,2272000000.0,2067000000.0,4388000000.0,228000000.0,-408000000.0,-351000000.0
521,201712,ELECTRONIC ARTS INC,767798,7308184,EA,1160000000.0,-21000000.0,-186000000.0,-0.6,-0.6,0.0,8642000000.0,5966000000.0,3107000000.0,2566000000.0,4086000000.0,1077000000.0,-593000000.0,-508000000.0
525,201803,ELECTRONIC ARTS INC,865413,7138016,EA,5150000000.0,1434000000.0,1043000000.0,3.39,3.34,0.0,8584000000.0,6004000000.0,2491000000.0,4258000000.0,4595000000.0,1692000000.0,622000000.0,-643000000.0
527,201806,ELECTRONIC ARTS INC,890883,6317420,EA,1137000000.0,300000000.0,293000000.0,0.96,0.95,0.0,8247000000.0,5624000000.0,1464000000.0,3876000000.0,5260000000.0,120000000.0,-103000000.0,-388000000.0
519,201809,ELECTRONIC ARTS INC,946554,7855868,EA,1286000000.0,258000000.0,255000000.0,0.84,0.83,0.0,8450000000.0,5803000000.0,1649000000.0,2881000000.0,5317000000.0,-6000000.0,-704000000.0,-659000000.0
256,201306,EQUINIX INC,385532,2087116,EQIX,525669000.0,112177000.0,-28658000.0,-0.58,-0.58,0.0,7077849000.0,1097609000.0,607535000.0,517496000.0,2311875000.0,231340000.0,-604993000.0,646726000.0
264,201309,EQUINIX INC,397991,2167116,EQIX,543084000.0,115193000.0,42471000.0,0.86,0.83,0.0,7389044000.0,1004774000.0,582225000.0,399742000.0,2452996000.0,437902000.0,-935951000.0,645548000.0
258,201403,EQUINIX INC,416758,2254694,EQIX,580053000.0,121612000.0,41387000.0,0.83,0.81,0.0,7730598000.0,1086018000.0,595156000.0,495174000.0,2517006000.0,171718000.0,98885000.0,-37282000.0
254,201406,EQUINIX INC,483042,2299216,EQIX,605161000.0,124697000.0,11328000.0,0.22,0.22,0.0,7639611000.0,954534000.0,563315000.0,408334000.0,2683059000.0,270682000.0,190388000.0,-316210000.0
255,201409,EQUINIX INC,562872,2649060,EQIX,620441000.0,135131000.0,42841000.0,0.81,0.79,0.0,7462000000.0,857711000.0,668200000.0,354181000.0,2597680000.0,487123000.0,184072000.0,-572449000.0
262,201412,EQUINIX INC,882090571,3890489,EQIX,2443776000.0,509266000.0,-259547000.0,-4.96,-4.96,0.0,7817433000.0,1490943000.0,643757000.0,610917000.0,2270131000.0,689420000.0,-435839000.0,107401000.0
260,201503,EQUINIX INC,635536,2729378,EQIX,643174000.0,151449000.0,76452000.0,1.35,1.34,0.0,7727694000.0,1439544000.0,666355000.0,536709000.0,2161729000.0,232811000.0,-199834000.0,-98794000.0
